taxon_id,scientific_name,observation_count
55367,Fragaria chiloensis,903
68286,Polytrichum juniperinum,900
57635,Hyacinthoides hispanica,897
55826,Myosotis sylvatica,895
62581,Calochortus lyallii,892
69912,Neckera douglasii,891
83992,Betula pendula,890
59780,Pedicularis groenlandica,885
1487484,Spiraea lucida,882
77776,Linaria dalmatica,878
53201,Sanicula crassicaulis,877
77789,Lithophragma glabrum,877
48098,Acer rubrum,873
47697,Hesperis matronalis,872
162640,Eriogonum niveum,872
78032,Micranthes tolmiei,871
60476,Armeria maritima,868
78931,Salicornia pacifica,866
78551,Phlox speciosa,858
78024,Micranthes ferruginea,855
122034,Hydrangea macrophylla,851
56064,Ranunculus acris,849
164926,Lupinus sericeus,848
79030,Sedum oreganum,847
60364,Rhododendron ponticum,844
61210,Microsteris gracilis,843
63937,Hieracium albiflorum,830
166258,Pediocactus nigrispinus,830
55823,Draba verna,822
327099,Sarcodiotheca gaudichaudii,819
76002,Cardamine nuttallii,817
53065,Galium triflorum,815
53271,Brassica rapa,815
498086,Primula pauciflora,809
54050,Crepis capillaris,807
69849,Larix occidentalis,805
59613,Astragalus purshii,803
68057,Ranunculus occidentalis,801
55830,Glechoma hederacea,800
51807,Aquilegia vulgaris,798
52614,Zostera marina,795
69636,Cardamine flexuosa,787
78351,Parnassia fimbriata,787
61039,Morella californica,781
64184,Claytonia rubra,779
75922,Cacaliopsis nardosmia,779
75597,Artemisia suksdorfii,778
77952,Malva neglecta,777
52673,Equisetum hyemale,776
1414073,Androsace laevigata,772
78887,Rosa woodsii,770
53266,Sisymbrium officinale,769
160697,Clematis vitalba,768
79152,Solidago lepida,766
62273,Balsamorhiza careyana,764
78499,Phacelia linearis,763
79343,Thalictrum occidentale,763
57283,Centranthus ruber,762
166706,Phlox longifolia,762
58907,Melilotus albus,758
470643,Erythranthe guttata,758
57353,Nemophila parviflora,756
63868,Aspidotis densa,754
128870,Leptarrhena pyrolifolia,751
58755,Cystopteris fragilis,748
79055,Senecio triangularis,746
144056,Lewisia columbiana,742
79303,Symphyotrichum subspicatum,741
78941,Salix hookeriana,737
64541,Dianthus armeria,735
79026,Sedum lanceolatum,735
69848,Larix lyallii,730
75742,Balsamorhiza hookeri,726
54520,Tanacetum parthenium,724
77040,Eriogonum umbellatum,720
49883,Betula papyrifera,717
126404,Araucaria araucana,717
1234070,Lomatium papilioniferum,713
